Job_ID,Job_Title,Job_Description,Skills,Experience_Level,Location,Salary_INR,Posting_Date
JOB-00001,Full Stack Developer,"Hiring a Full Stack Developer with strong expertise in Angular, CSS, HTML. You will building web applications and database management and drive innovation in our technology stack.","Angular, CSS, HTML",Principal (12+ yrs),Dublin,4981000.0,2020-12-04
JOB-00002,Database Administrator,"Exciting opportunity for a Database Administrator! Must be proficient in Python, Oracle, Backup Recovery. Key responsibilities include data migration and performance tuning.","Python, Oracle, Backup Recovery",Fresher (0-1 yrs),Delhi NCR,528000.0,2020-10-09
JOB-00003,Machine Learning Engineer,"Join our growing team as a Machine Learning Engineer. Required skills: TensorFlow, MLOps, NLP, Deep Learning, Python, Machine Learning. This role involves building ML pipelines and feature engineering and collaborating with cross-functional teams.","TensorFlow, MLOps, NLP, Deep Learning, Python, Machine Learning",Fresher (0-1 yrs),Seattle,466000.0,2022-02-13
JOB-00004,Software Engineer,"Exciting opportunity for a Software Engineer! Must be proficient in JavaScript, Python, Docker. Key responsibilities include software design and code reviews.","JavaScript, Python, Docker",Mid (3-5 yrs),San Francisco,930000.0,2020-11-27
JOB-00005,Frontend Developer,"Exciting opportunity for a Frontend Developer! Must be proficient in Figma, CSS, HTML, Redux, Vue.js, REST API, Angular. Key responsibilities include optimizing web performance and building responsive user interfaces.","Figma, CSS, HTML, Redux, Vue.js, REST API, Angular",Mid (3-5 yrs),Hyderabad,1474000.0,2023-04-22
JOB-00006,Systems Administrator,"Hiring a Systems Administrator with strong expertise in Active Directory, Bash, Security, Monitoring, DNS, VMware, Windows Server, PowerShell. You will security patching and system monitoring and drive innovation in our technology stack.","Active Directory, Bash, Security, Monitoring, DNS, VMware, Windows Server, PowerShell",Lead (8-12 yrs),Austin,2620000.0,2019-12-18
JOB-00007,Mobile App Developer,"Exciting opportunity for a Mobile App Developer! Must be proficient in Swift, Kotlin, React Native. Key responsibilities include performance optimization and app store deployment.","Swift, Kotlin, React Native",Lead (8-12 yrs),London,2302000.0,2023-11-14
JOB-00008,Full Stack Developer,"Exciting opportunity for a Full Stack Developer! Must be proficient in REST API, CSS, Docker, MongoDB, React, Angular, HTML, Vue.js. Key responsibilities include building web applications and database management.","REST API, CSS, Docker, MongoDB, React, Angular, HTML, Vue.js",Mid (3-5 yrs),Delhi NCR,1578000.0,2022-12-24
JOB-00009,Cybersecurity Analyst,"Join our growing team as a Cybersecurity Analyst. Required skills: Compliance, Vulnerability Assessment, Network Security, Incident Response. This role involves vulnerability assessment and threat detection and collaborating with cross-functional teams.","Compliance, Vulnerability Assessment, Network Security, Incident Response",Mid (3-5 yrs),Kochi,1503000.0,2021-01-04
JOB-00010,Mobile App Developer,"We need an experienced Mobile App Developer who can work with iOS, React Native, Android. The role focuses on performance optimization and building mobile applications and delivering high-quality solutions.","iOS, React Native, Android",Mid (3-5 yrs),Seattle,1222000.0,2023-09-06
JOB-00011,Business Intelligence Analyst,"We are looking for a skilled Business Intelligence Analyst to join our team. The ideal candidate should have experience with Python, Data Warehousing, Statistics, Power BI, Tableau, DAX, ETL, Data Visualization. You will be responsible for building BI dashboards and business requirements analysis.","Python, Data Warehousing, Statistics, Power BI, Tableau, DAX, ETL, Data Visualization",Lead (8-12 yrs),Mumbai,2552000.0,2018-09-08
JOB-00012,Cloud Architect,"We are looking for a skilled Cloud Architect to join our team. The ideal candidate should have experience with CloudFormation, Networking, Terraform, Security, GCP. You will be responsible for migration planning and designing cloud infrastructure.","CloudFormation, Networking, Terraform, Security, GCP",Senior (5-8 yrs),Toronto,1667000.0,2023-10-19
JOB-00013,Site Reliability Engineer,"Join our growing team as a Site Reliability Engineer. Required skills: Linux, Bash, Docker, Incident Management, Prometheus, Monitoring, Kubernetes, CI/CD. This role involves capacity planning and incident management and collaborating with cross-functional teams.","Linux, Bash, Docker, Incident Management, Prometheus, Monitoring, Kubernetes, CI/CD",Senior (5-8 yrs),Delhi NCR,1554000.0,2020-04-18
JOB-00014,QA Engineer,"Join our growing team as a QA Engineer. Required skills: Selenium, CI/CD, Performance Testing. This role involves performance testing and test automation and collaborating with cross-functional teams.","Selenium, CI/CD, Performance Testing",Senior (5-8 yrs),Kolkata,1934000.0,2025-04-06
JOB-00015,Site Reliability Engineer,"We need an experienced Site Reliability Engineer who can work with Prometheus, CI/CD, Grafana, Kubernetes, AWS. The role focuses on ensuring system reliability and performance optimization and delivering high-quality solutions.","Prometheus, CI/CD, Grafana, Kubernetes, AWS",Principal (12+ yrs),New York,4584000.0,2020-01-19
JOB-00016,Data Analyst,"We need an experienced Data Analyst who can work with Excel, Python, Google Analytics, Power BI, SQL, Pandas, Tableau. The role focuses on generating reports and analyzing business metrics and delivering high-quality solutions.","Excel, Python, Google Analytics, Power BI, SQL, Pandas, Tableau",Lead (8-12 yrs),Seattle,3151000.0,2019-10-08
JOB-00017,AI Engineer,"We need an experienced AI Engineer who can work with NLP, Machine Learning, PyTorch, Docker. The role focuses on developing AI solutions and research and prototyping and delivering high-quality solutions.","NLP, Machine Learning, PyTorch, Docker",Senior (5-8 yrs),Austin,2083000.0,2022-02-01
JOB-00018,Machine Learning Engineer,"We need an experienced Machine Learning Engineer who can work with MLOps, Deep Learning, PyTorch, Kubernetes. The role focuses on deploying ML models to production and building ML pipelines and delivering high-quality solutions.","MLOps, Deep Learning, PyTorch, Kubernetes",Lead (8-12 yrs),Sydney,3774000.0,2024-12-10
JOB-00019,Backend Developer,"We are looking for a skilled Backend Developer to join our team. The ideal candidate should have experience with Python, RabbitMQ, Spring Boot, Node.js, REST API. You will be responsible for microservices architecture and API development.","Python, RabbitMQ, Spring Boot, Node.js, REST API",Mid (3-5 yrs),Jaipur,963000.0,2020-04-23
JOB-00020,Data Scientist,"Join our growing team as a Data Scientist. Required skills: Scikit-learn, SQL, NLP, Deep Learning, Jupyter. This role involves building predictive models and creating data pipelines and collaborating with cross-functional teams.","Scikit-learn, SQL, NLP, Deep Learning, Jupyter",Senior (5-8 yrs),Pune,2017000.0,2023-09-23
JOB-00021,Backend Developer,"Join our growing team as a Backend Developer. Required skills: Node.js, Java, REST API, Microservices, Redis, RabbitMQ. This role involves microservices architecture and database optimization and collaborating with cross-functional teams.","Node.js, Java, REST API, Microservices, Redis, RabbitMQ",Fresher (0-1 yrs),Dublin,406000.0,2020-04-22
JOB-00022,Frontend Developer,"Hiring a Frontend Developer with strong expertise in JavaScript, HTML, Angular, Vue.js, CSS, Git. You will optimizing web performance and building responsive user interfaces and drive innovation in our technology stack.","JavaScript, HTML, Angular, Vue.js, CSS, Git",Senior (5-8 yrs),Toronto,2359000.0,2019-12-04
JOB-00023,Cloud Architect,"We need an experienced Cloud Architect who can work with CloudFormation, Terraform, Microservices. The role focuses on migration planning and security architecture and delivering high-quality solutions.","CloudFormation, Terraform, Microservices",Mid (3-5 yrs),Sydney,1081000.0,2021-02-25
JOB-00024,Data Engineer,"We need an experienced Data Engineer who can work with Snowflake, ETL, Python, SQL. The role focuses on building data pipelines and data warehousing and delivering high-quality solutions.","Snowflake, ETL, Python, SQL",Mid (3-5 yrs),Sydney,1149000.0,2022-06-24
JOB-00025,Blockchain Developer,"Exciting opportunity for a Blockchain Developer! Must be proficient in JavaScript, Rust, Cryptography, Solidity, Node.js, Smart Contracts, Web3. Key responsibilities include blockchain architecture and DApp building.","JavaScript, Rust, Cryptography, Solidity, Node.js, Smart Contracts, Web3",Mid (3-5 yrs),Berlin,1206000.0,2023-02-24
JOB-00026,Business Intelligence Analyst,"Join our growing team as a Business Intelligence Analyst. Required skills: SQL, Data Visualization, ETL, Statistics, Power BI, DAX, Data Warehousing, Python. This role involves business requirements analysis and report automation and collaborating with cross-functional teams.","SQL, Data Visualization, ETL, Statistics, Power BI, DAX, Data Warehousing, Python",Principal (12+ yrs),Singapore,4144000.0,2021-10-20
JOB-00027,Frontend Developer,"Hiring a Frontend Developer with strong expertise in React, TypeScript, Webpack, Angular, Figma, Vue.js, Redux, HTML. You will building responsive user interfaces and optimizing web performance and drive innovation in our technology stack.","React, TypeScript, Webpack, Angular, Figma, Vue.js, Redux, HTML",Fresher (0-1 yrs),Toronto,314000.0,2020-04-05
JOB-00028,Business Intelligence Analyst,"We need an experienced Business Intelligence Analyst who can work with ETL, Excel, SQL, Python, DAX, Power BI. The role focuses on business requirements analysis and building BI dashboards and delivering high-quality solutions.","ETL, Excel, SQL, Python, DAX, Power BI",Senior (5-8 yrs),Sydney,1641000.0,2024-02-25
JOB-00029,Site Reliability Engineer,"Join our growing team as a Site Reliability Engineer. Required skills: CI/CD, Incident Management, Terraform, Monitoring, Grafana, Python, Bash, Prometheus. This role involves performance optimization and incident management and collaborating with cross-functional teams.","CI/CD, Incident Management, Terraform, Monitoring, Grafana, Python, Bash, Prometheus",Junior (1-3 yrs),Toronto,872000.0,2021-09-15
JOB-00030,Mobile App Developer,"Join our growing team as a Mobile App Developer. Required skills: Flutter, JavaScript, Firebase, Kotlin, REST API, React Native, iOS, Git. This role involves UI/UX implementation and app store deployment and collaborating with cross-functional teams.","Flutter, JavaScript, Firebase, Kotlin, REST API, React Native, iOS, Git",Junior (1-3 yrs),London,575000.0,2021-09-03
JOB-00031,Product Manager (Tech),"We are looking for a skilled Product Manager (Tech) to join our team. The ideal candidate should have experience with SQL, A/B Testing, Roadmapping. You will be responsible for user research and stakeholder management.","SQL, A/B Testing, Roadmapping",Fresher (0-1 yrs),Austin,557000.0,2025-10-23
JOB-00032,Product Manager (Tech),"We need an experienced Product Manager (Tech) who can work with Roadmapping, SQL, User Research, Scrum, JIRA, Stakeholder Management, Data Analysis. The role focuses on user research and product roadmap planning and delivering high-quality solutions.","Roadmapping, SQL, User Research, Scrum, JIRA, Stakeholder Management, Data Analysis",Principal (12+ yrs),Delhi NCR,5096000.0,2018-06-22
JOB-00033,Data Scientist,"Exciting opportunity for a Data Scientist! Must be proficient in NLP, PyTorch, SQL. Key responsibilities include presenting insights to stakeholders and analyzing large datasets.","NLP, PyTorch, SQL",Mid (3-5 yrs),Kolkata,1103000.0,2024-03-02
JOB-00034,Product Manager (Tech),"Join our growing team as a Product Manager (Tech). Required skills: Scrum, User Research, Agile, Product Strategy, Data Analysis. This role involves product roadmap planning and user research and collaborating with cross-functional teams.","Scrum, User Research, Agile, Product Strategy, Data Analysis",Principal (12+ yrs),Hyderabad,3637000.0,2018-06-08
JOB-00035,Mobile App Developer,"We need an experienced Mobile App Developer who can work with Kotlin, Android, Flutter, Firebase, REST API, React Native, Git, TypeScript. The role focuses on app store deployment and building mobile applications and delivering high-quality solutions.",,Fresher (0-1 yrs),Delhi NCR,533000.0,2023-12-23
JOB-00036,Business Intelligence Analyst,"We need an experienced Business Intelligence Analyst who can work with Excel, Tableau, DAX, Power BI, Python, SQL. The role focuses on building BI dashboards and data modeling and delivering high-quality solutions.","Excel, Tableau, DAX, Power BI, Python, SQL",Fresher (0-1 yrs),Austin,539000.0,2024-10-26
JOB-00037,AI Engineer,"We need an experienced AI Engineer who can work with Machine Learning, OpenAI, TensorFlow. The role focuses on training deep learning models and integrating AI into products and delivering high-quality solutions.","Machine Learning, OpenAI, TensorFlow",Senior (5-8 yrs),Berlin,2178000.0,2021-06-21
JOB-00038,QA Engineer,"Hiring a QA Engineer with strong expertise in Manual Testing, API Testing, JIRA, Java, Python, Selenium. You will bug tracking and test automation and drive innovation in our technology stack.","Manual Testing, API Testing, JIRA, Java, Python, Selenium",Senior (5-8 yrs),London,2027000.0,2020-08-08
JOB-00039,Data Engineer,"Hiring a Data Engineer with strong expertise in ETL, Snowflake, Scala, Data Warehousing, Python. You will data warehousing and ETL processes and drive innovation in our technology stack.","ETL, Snowflake, Scala, Data Warehousing, Python",Junior (1-3 yrs),Toronto,860000.0,2022-04-03
